,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
179,53.0,14.0,18.0,2.0,25857.0,4683.162813101706,2637.929979463732,53.0,14.0,18.0,0,0,0
180,48.0,27.0,52.0,2.0,26644.0,5470.162813101706,2477.521411774127,48.0,27.0,52.0,0,0,0
181,34.0,34.0,7.0,2.0,24721.0,3547.162813101706,2215.2255091768484,34.0,34.0,7.0,0,0,0
182,17.0,65.0,25.0,2.0,24910.0,3736.162813101706,2119.9602782745947,17.0,65.0,25.0,0,0,0
183,47.0,31.0,50.0,2.0,25372.0,4198.162813101706,1894.2826508431226,47.0,31.0,50.0,0,0,0
184,52.0,45.0,31.0,2.0,26289.0,5115.162813101706,1880.110990345488,52.0,45.0,31.0,0,0,0
185,53.0,34.0,5.0,2.0,26068.0,4894.162813101706,1789.630192073733,53.0,34.0,5.0,0,0,0
186,50.0,40.0,7.0,2.0,26089.0,4915.162813101706,1682.4283212785813,50.0,40.0,7.0,0,0,0
187,8.0,34.0,2.0,2.0,25638.0,4464.162813101706,1579.0361900084522,8.0,34.0,2.0,0,0,0
188,54.0,9.0,20.0,2.0,25162.0,3988.162813101706,1526.1604494309831,54.0,9.0,20.0,0,0,0
189,4.0,58.0,19.0,2.0,24763.0,3589.162813101706,1048.347745557615,4.0,58.0,19.0,0,0,0
190,11.0,4.0,41.0,2.0,24022.0,2848.162813101706,969.1615649600842,11.0,4.0,41.0,0,0,0
191,15.0,23.0,44.0,2.0,24395.0,3221.162813101706,811.2326362587493,15.0,23.0,44.0,0,0,0
192,9.0,23.0,43.0,2.0,23716.0,2542.162813101706,542.9628597499502,9.0,23.0,43.0,0,0,0
193,5.0,28.0,36.0,2.0,25414.0,4240.162813101706,470.57244561678567,5.0,28.0,36.0,0,0,0
194,64.0,50.0,40.0,2.0,22983.0,1809.162813101706,352.9808196813126,64.0,50.0,40.0,0,0,0
195,33.0,28.0,40.0,2.0,23047.0,1873.162813101706,315.2823901885354,33.0,28.0,40.0,0,0,0
196,2.0,52.0,21.0,2.0,22803.0,1629.162813101706,286.3807926165927,2.0,52.0,21.0,0,0,0
197,58.0,2.0,26.0,2.0,22679.0,1505.162813101706,244.0329897527161,58.0,2.0,26.0,0,0,0
198,26.0,8.0,34.0,2.0,22565.0,1391.162813101706,206.10231571208058,26.0,8.0,34.0,0,0,0
199,26.0,9.0,31.0,2.0,21841.0,667.162813101706,193.80202736072104,26.0,9.0,31.0,0,0,0
200,31.0,20.0,28.0,2.0,22086.0,912.162813101706,153.70700417817127,31.0,20.0,28.0,0,0,0
201,25.0,46.0,63.0,2.0,18004.0,-1.0,146.4916319017692,25.0,46.0,63.0,0,0,0
202,2.0,65.0,56.0,2.0,21890.0,716.162813101706,117.36282981759994,2.0,65.0,56.0,0,0,0
203,51.0,28.0,34.0,2.0,21672.0,498.162813101706,84.15794804739289,51.0,28.0,34.0,0,0,0
204,62.0,65.0,46.0,2.0,21592.0,418.162813101706,70.56413662239328,62.0,65.0,46.0,0,0,0
205,41.0,29.0,42.0,2.0,21464.0,290.162813101706,48.20883854811127,41.0,29.0,42.0,0,0,0
206,31.0,16.0,13.0,3.0,59206.0,38032.162813101706,24462.594372236843,31.0,16.0,13.0,0,0,0
207,13.0,21.0,19.0,3.0,59922.0,38748.162813101706,21092.985283479426,13.0,21.0,19.0,0,0,0
208,29.0,3.0,6.0,3.0,54235.0,33061.162813101706,20655.685325936243,29.0,3.0,6.0,0,0,0
209,9.0,33.0,38.0,3.0,58886.0,37712.162813101706,19644.524751722995,9.0,33.0,38.0,0,0,0
210,12.0,18.0,26.0,3.0,56087.0,34913.162813101706,19155.741558674374,12.0,18.0,26.0,0,0,0
211,52.0,18.0,3.0,3.0,47705.0,26531.162813101706,18199.984213113465,52.0,18.0,3.0,0,0,0
212,21.0,14.0,17.0,3.0,52463.0,31289.162813101706,17217.19470856588,21.0,14.0,17.0,0,0,0
213,21.0,56.0,58.0,3.0,49095.0,27921.162813101706,17095.149725628547,21.0,56.0,58.0,0,0,0
214,25.0,35.0,27.0,3.0,50527.0,29353.162813101706,16917.321641519182,25.0,35.0,27.0,0,0,0
